source,target,relationship,sentiment,url,article_source,date
UK Music,Steve Reed,supports,NEUTRAL,https://www.politico.eu/article/taylor-swift-keir-starmer-labour-party-uk-music-industry-artificial-intelligence-copyright/,us,2024-10-15
Donald Trump,Europe,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/19/brussels-my-love-europes-economy-in-a-struggle-for-survival,us,2024-10-19
Joachim Nagel,Donald Trump,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/19/brussels-my-love-europes-economy-in-a-struggle-for-survival,us,2024-10-19
Ursula von der Leyen,China,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/19/brussels-my-love-europes-economy-in-a-struggle-for-survival,us,2024-10-19
Jānis Karlsbergs,Russia,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/security-tops-agenda-at-riga-conference-amid-fears-of-russian-threat,us,2024-10-18
Jānis Karlsbergs,Latvia,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/18/security-tops-agenda-at-riga-conference-amid-fears-of-russian-threat,us,2024-10-18
Europe of Sovereign Nations,European Parliament,represents,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,European Parliament,represents,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
European Conservatives and Reformists,European Parliament,represents,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Europe of Sovereign Nations,Dave Sinardet,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Dave Sinardet,Patriots for Europe,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Europe of Sovereign Nations,Alternative for Germany,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Europe of Sovereign Nations,Confederation,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Europe of Sovereign Nations,Renaissance,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,Rassemblement national,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,Fidesz,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,League,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,Vox party,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Patriots for Europe,FPÖ,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
European Conservatives and Reformists,Brothers of Italy,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
European Conservatives and Reformists,Law and Justice,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Jarosław Kaczyński,Law and Justice,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Giorgia Meloni,Brothers of Italy,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Viktor Orban,Fidesz,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Jean-Marie Le Pen,Rassemblement national,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Matteo Salvini,League,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Santiago Abascal,Vox party,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Herbert Kickl,FPÖ,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/radical-populist-extreme-nationalist-how-should-we-be-talking-about-the-fa-right,us,2024-10-17
Sergio Carrera,Centre for European Policy Studies,represents,NEUTRAL,https://www.euronews.com/my-europe/2024/10/15/which-country-is-deporting-the-most-migrants-out-of-the-eu,us,2024-10-15
Sergio Carrera,Euronews,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/15/which-country-is-deporting-the-most-migrants-out-of-the-eu,us,2024-10-15
Hungary,Romania,opposes,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Hungary,Portugal,opposes,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Netherlands,Belgium,supports,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Netherlands,Deutschland,supports,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Netherlands,Ireland,supports,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Netherlands,Malta,supports,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Netherlands,Sweden,supports,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
France,European Commission,criticizes,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Greece,European Commission,criticizes,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Luxembourg,European Commission,criticizes,NEUTRAL,https://www.euronews.com/next/2024/10/17/eu-countries-split-over-revamping-telecom-markets,us,2024-10-17
Emily O'Reilly,Ursula von der Leyen,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Emily O'Reilly,Martin Selmayr,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Julia Laffranque,Emily O'Reilly,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Marino Fardelli,Euronews,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Marino Fardelli,Giorgia Meloni,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Nigel Farage,Emily O'Reilly,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/who-will-be-the-eu-bureaucrats-next-watchdog-ombudsman-emily-oreilly,us,2024-10-18
Russia,subsea cables,accuses,HOSTILE,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Nato,subsea cables,supports,FRIENDLY,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Jens Stoltenberg,Nato,leads,NEUTRAL,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Russia,Baltic Sea,opposes,HOSTILE,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Finland,Estonia,partners with,NEUTRAL,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Finland,Nato,supports,FRIENDLY,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Sweden,Nato,supports,FRIENDLY,https://www.euronews.com/next/2024/10/15/europes-achilles-heel-why-the-baltic-region-is-the-most-vulnerable-to-subsea-sabotage,us,2024-10-15
Thierry Mounib,Euronews,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Lyon’s metropolitan council,Arkema,accuses,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Lyon’s metropolitan council,Daikin,accuses,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Deutschland,Netherlands,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Deutschland,Sweden,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Deutschland,Denmark,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Deutschland,Norway,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/16/forever-chemicals-what-are-they-and-could-they-be-totally-banned-in-the-eu,us,2024-10-16
Michael McNamara,European Parliament,leads,NEUTRAL,https://www.euronews.com/next/2024/10/16/meet-the-european-parliaments-ai-overseers-michael-mcnamara-and-brando-benifei,us,2024-10-16
Brando Benifei,European Parliament,leads,NEUTRAL,https://www.euronews.com/next/2024/10/16/meet-the-european-parliaments-ai-overseers-michael-mcnamara-and-brando-benifei,us,2024-10-16
Michael McNamara,"Committee on Civil Liberties, Justice and Home Affairs",represents,NEUTRAL,https://www.euronews.com/next/2024/10/16/meet-the-european-parliaments-ai-overseers-michael-mcnamara-and-brando-benifei,us,2024-10-16
Brando Benifei,Committee on the Internal Market and Consumer Protection,represents,NEUTRAL,https://www.euronews.com/next/2024/10/16/meet-the-european-parliaments-ai-overseers-michael-mcnamara-and-brando-benifei,us,2024-10-16
Robert Jenrick,ECHR,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Kemi Badenoch,ECHR,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
UK,ECHR,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Gavin Phillipson,ECHR,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Dimitrios Giannoulopoulos,ECHR,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Ilias Trispiotis,ECHR,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Robert Jenrick,immigration,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
ECHR,immigration,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Conservative Party,British Bill of Rights,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/17/fact-check-is-the-echr-really-blocking-the-uk-from-deporting-migrants,us,2024-10-17
Jean-Noël Barrot,Ukraine,supports,FRIENDLY,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Jean-Noël Barrot,Volodymyr Zelensky,supports,FRIENDLY,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Ukraine,Russia,opposes,HOSTILE,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Volodymyr Zelensky,Russia,opposes,HOSTILE,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
France,Ukraine,supports,FRIENDLY,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Emmanuel Macron,Ukraine,supports,FRIENDLY,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Ukraine,Nato,seeks_membership,NEUTRAL,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Vladimir Putin,Europe,opposes,HOSTILE,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Russia,Ukraine,partners with,NEUTRAL,https://www.euronews.com/2024/10/19/france-pledges-support-for-ukraines-proposal-to-end-war-with-russia,us,2024-10-19
Leena Ylä-Mononen,Europe,represents,NEUTRAL,https://www.euronews.com/green/2024/10/15/the-health-of-europes-waters-is-not-good-why-its-time-to-crack-down-on-chemical-pollution,us,2024-10-15
European Environment Agency (EEA),Europe,represents,NEUTRAL,https://www.euronews.com/green/2024/10/15/the-health-of-europes-waters-is-not-good-why-its-time-to-crack-down-on-chemical-pollution,us,2024-10-15
Simon Harris,Ireland,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Simon Harris,Fine Gael,leads,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Simon Harris,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Simon Harris,EU,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Frances Black,Dáil,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Fianna Fáil,Dáil,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Greens,Dáil,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Fine Gael,Dáil,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Ireland,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Spain,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
European Union,Israel,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Josep Borrell,Israel,criticizes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Alexander De Croo,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Brussels City Council,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
Norway,Israel,opposes,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/what-is-irelands-occupied-territories-bill-and-why-could-it-be-re-examined,us,2024-10-18
European Central Bank (ECB),eurozone,represents,NEUTRAL,https://www.euronews.com/business/2024/10/17/ecb-cuts-rates-again-as-eurozone-inflation-falls-below-target,us,2024-10-17
European Central Bank (ECB),Lagarde,leads,NEUTRAL,https://www.euronews.com/business/2024/10/17/ecb-cuts-rates-again-as-eurozone-inflation-falls-below-target,us,2024-10-17
Lagarde,European Union,represents,NEUTRAL,https://www.euronews.com/business/2024/10/17/ecb-cuts-rates-again-as-eurozone-inflation-falls-below-target,us,2024-10-17
Federal Reserve,European Central Bank (ECB),partners with,NEUTRAL,https://www.euronews.com/business/2024/10/17/ecb-cuts-rates-again-as-eurozone-inflation-falls-below-target,us,2024-10-17
Paul Roundy,climate change,criticizes,NEUTRAL,https://www.euronews.com/green/2024/10/17/a-la-nina-event-is-likely-coming-to-europe-what-does-it-mean-for-weather-this-winter,us,2024-10-17
Intergovernmental Panel on Climate Change,extreme weather events,accuses,NEUTRAL,https://www.euronews.com/green/2024/10/17/a-la-nina-event-is-likely-coming-to-europe-what-does-it-mean-for-weather-this-winter,us,2024-10-17
Monika Schnitzer,European Parliament,represents,NEUTRAL,https://www.euronews.com/my-europe/2024/10/15/key-mep-threatens-to-block-eus-trillion-euro-budget-if-beneficiaries-stay-secret,us,2024-10-15
Monika Schnitzer,European Commission,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/key-mep-threatens-to-block-eus-trillion-euro-budget-if-beneficiaries-stay-secret,us,2024-10-15
Court of Auditors,EU,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/key-mep-threatens-to-block-eus-trillion-euro-budget-if-beneficiaries-stay-secret,us,2024-10-15
Monika Schnitzer,EU,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/key-mep-threatens-to-block-eus-trillion-euro-budget-if-beneficiaries-stay-secret,us,2024-10-15
Russia,Nato,accuses,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Bruno Kahl,Russia,accuses,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Vladimir Putin,Nato,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Thomas Haldenwang,Russia,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Dmitry Peskov,Nato,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Nato,Ukraine,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Mark Rutte,Ukraine,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Mark Rutte,Moscow,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Nancy Faeser,Russia,accuses,HOSTILE,https://www.euronews.com/my-europe/2024/10/15/russia-could-attack-nato-by-end-of-decade-german-intelligence-chief-warns,us,2024-10-15
Oman Air,London,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Oman Air,Bangkok,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
British Airways,Air France,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Lufthansa,British Airways,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
British Airways,Boeing,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Virgin Atlantic,Airbus,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Virgin Atlantic,Atlantic,partners with,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Ben Mutzabaugh,Thrillist,leads,NEUTRAL,https://www.euronews.com/travel/2024/10/17/are-first-class-flights-dying-why-airlines-are-increasingly-choosing-to-replace-high-end-c,us,2024-10-17
Labour government,Ruth Davis,appoints,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
Steve Reed,Ruth Davis,supports,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
UK,Ruth Davis,supports,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
David Lammy,UK,criticizes,HOSTILE,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
UK,Greenpeace,partners with,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
UK,RSPB,partners with,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
UK,Plantlife,partners with,NEUTRAL,https://www.euronews.com/green/2024/10/21/as-the-uk-appoints-a-nature-envoy-how-successful-have-her-european-counterparts-been-in-go,us,2024-10-21
Joe Biden,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Donald Trump,Ukraine,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Olaf Scholz,Joe Biden,supports,FRIENDLY,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Donald Trump,Deutschland,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Jens Spahn,Donald Trump,partners with,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Friedrich Merz,Deutschland,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Angela Merkel,Donald Trump,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
United States,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Deutschland,Ukraine,supports,NEUTRAL,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Donald Trump,Nato,opposes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Joe Biden,Deutschland,partners with,FRIENDLY,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
Donald Trump,Deutschland,criticizes,HOSTILE,https://www.euronews.com/my-europe/2024/10/18/how-prepared-is-germany-for-a-trump-presidency,us,2024-10-18
European Central Bank (ECB),Europe,leads,NEUTRAL,https://www.euronews.com/business/2024/10/16/where-to-look-for-top-performing-european-stocks-as-interest-rates-drop,us,2024-10-16
Federal Reserve,Europe,leads,NEUTRAL,https://www.euronews.com/business/2024/10/16/where-to-look-for-top-performing-european-stocks-as-interest-rates-drop,us,2024-10-16
Peter Oppenheimer,Goldman Sachs,represents,NEUTRAL,https://www.euronews.com/business/2024/10/16/where-to-look-for-top-performing-european-stocks-as-interest-rates-drop,us,2024-10-16
Nvidia,Apple,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Nvidia,Microsoft,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Nvidia,Alphabet,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Nvidia,Amazon,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Nvidia,Meta,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Nvidia,OpenAI,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
TSMC,Apple,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
TSMC,Nvidia,partners with,NEUTRAL,https://www.euronews.com/business/2024/10/15/nvidia-shares-hit-new-high-as-demand-soars-for-ai-supercomputer-chips,us,2024-10-15
Dr Michael Stops,The Institute for Employment Research (IAB),represents,NEUTRAL,https://www.euronews.com/business/2024/10/15/gendered-job-listings-are-women-turning-away-from-masculine-roles,us,2024-10-15
Professor Alexandra Scheele,Universität Bielefeld's Faculty of Sociology,represents,NEUTRAL,https://www.euronews.com/business/2024/10/15/gendered-job-listings-are-women-turning-away-from-masculine-roles,us,2024-10-15
